,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,19572024,1.0,True,Watergraafsmeer,52.3,4.91,Entire home/apt,6,3,6,14,279.0,3,300,True,6,3,4,True,46.5,837.0,0.09,0.16,0.14,4.99,0.8164383561643835,1496.5479452054794
1,2973384,0.38,True,Watergraafsmeer,52.3,4.906,Entire home/apt,5,3,3,7,185.0,6,21,True,0,0,4,True,37.0,1110.0,0.06,0.12,0.18,4.99,0.03561643835616438,941.3013698630137
2,34985473,1.0,True,Noord-Oost,52.44,5.043,Entire home/apt,5,3,4,4,135.0,6,1125,True,7,0,4,True,27.0,810.0,0.08,0.13,0.17,4.99,0.16164383561643836,748.5616438356165
3,44174770,1.0,True,Watergraafsmeer,52.34,4.953,Private room,1,1,1,8,59.0,30,1125,True,0,0,4,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.6712328767123288,296.5068493150685
4,50065811,0.92,True,Bijlmer-Centrum,52.28,4.97,Entire home/apt,6,3,4,14,275.0,5,42,True,18,1,4,True,45.84,1375.0,0.02,0.15,0.28,4.99,0.4602739726027397,1375.0
5,51340421,0.64,True,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,2,11,275.0,1,1125,True,10,3,4,True,68.75,275.0,0.11,0.15,0.23,4.99,0.8684931506849315,1372.2602739726028
6,18082645,0.29,True,Watergraafsmeer,52.34,4.957,Entire home/apt,6,3,2,6,150.0,4,1125,True,1,1,4,True,25.0,600.0,0.09,0.13,0.18,4.99,0.0684931506849315,895.8904109589041
7,47709873,1.0,True,Westerpark,52.4,4.875,Entire home/apt,2,1,1,6,210.0,3,120,True,0,0,4,True,105.0,630.0,0.09,0.15,0.19,4.99,0.43561643835616437,1084.849315068493
8,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Private room,2,1,2,4,49.0,3,28,True,3,4,4,True,24.5,147.0,0.08,0.1,0.14,0.99,0.20821917808219179,346.90410958904107
9,44391,0.67,True,Centrum-Oost,52.38,4.914,Entire home/apt,4,2,2,1,240.0,3,730,True,0,0,4,True,60.0,720.0,0.09,0.17,0.29,4.99,0.0,1200.0
